text,label
بازی خوبی بود ولی چون چک پوینت کم داشت و با وجود اینکه خیلی گیمپلی رون نبود ولی بازی سخت بود ، و لذت نبردم دو ستاره کم می کنم,0
بازی بسیار زیبا در عین حال با موسیقی های 8 بیتی اون زمان. خسته نباشید خدمت تیم لکسیپ گیمز.,1
سلام بازی خیلی خوبیه هر چند یه سری ایراد داره ولی به عنوان بازی ایرانی و شوتر اول شخص حرفی برای گفتن داره و سرگرم کننده است روایت و داستان خوبی هم داره,1
واقعا دمتون گرم با این بازی خیلی عالیه,1
بازی قشنگ بود اما تورو جدتون دیالوگ ها رو کتابی نکنید حوصله سر بر میشه بعد آپدیت نمی خواید بدین دوتا بخش دیگه باز بشه,0
برای دایراکس 12 هست,0
عالی بود فقط انیمیشن حرکات واقعا تند بود مخصوصا موقع حرکت ماشین که اون حس رانندگی رو نمیده به مخاطب,1
سلام عالیه ان شا الله ظهور آقا,1
بازی بسیار عالی بود. امید برای پیشرفت برای صنعت بازی سازی ایران,1
من از این بازی خیلی خوشم اومد بخاطر همین نقدهام رو میگم: باز فوق العاده جذابه و بعضی از قسمتهای بازی به صورت غافلگیر کننده ای خوبه منتها چندتا ایراد داره که میشه با یک آپدیت همشون رو بر طرف کرد: 1)اصلی ترین ایراد بازی صدای افتضاح اسلحه های بازی(در حد بازی های نسل 6) 2)تنوع خیلی کم تفنگ ها 3)اینکه میشه در حال بالا رفتن از نردبان ریلود کرد 4)فاصله بین بعضی از چک پوینت ها زیاده (مخصوصا در مرحله تعقیب تک تیر انداز و مرحله آخر) 5)بعضی اوقات انتحاری ها صدا ندارن(به نظرم همشون باید صدای بلند و رعب آوری داشته باشن) 6)680 تا گلوله میشه حمل کرد با m4 ؟!؟!؟!؟!؟! 7)دشمنان خیلی روشن هستن و این حسو به آدم میده که توی اتمسفر بازی نیستن. این ایراد های جزئی رو میشه با یه آپدیت حل کرد. با اینکه این ایراد ها رو داره اما جذابیت های خاص خودشو هم داره مثل: طراحی مناسب مراحل فضا سازی جذاب مرحله خیلی خوب تعقیب تک تیر انداز گندم زار زیبا میان یکی از مراحل(اما متاسفانه خیلی کوچک) و ..... اما یه سری چیز های بازی تو ذوق میزنن مثل فارسی حرف زدن داعشی ها و وسعت کم نقشه و ارزش نداشتن گشت و گذار داخل خانه ها(مپ بازی) چون هیچ آپگریدی و یا ایسترگی داخل مپ بازی پنهان نشده. تشکر میکنم از تیم سازنده بابت بازی جذاب و امیدوارم قسمت بعدی بازی هم ساخته بشه.,1
فکر میکنم بازی خوبی باشه ولی ویندوز ما رو پشتیبانی نکرد,1
بسیار عالی حتما نصب کنید ضرر نمیکنید.,1
